実,1143,-1.10291,-0.80188,-0.50085,-0.09735,0.19043,-0.06276,0.05395,0.28911,0.19365,0.473,0.35623,0.36679,0.64257
是,6,-1.77219,-1.47116,-1.17013,-0.8691,-0.56807,-0.26704,0.03399,0.33502,0.63605,0.93708,1.23811,1.60294,1.33447
盆,25,-0.94678,-0.64575,-0.34472,-0.04369,0.25734,0.30509,0.3481,0.22699,0.05846,-0.07405,0.0416,0.28149,0.5359
摂,36,-1.0498,-0.74877,-0.44774,-0.14671,0.15432,0.45535,0.75638,0.45535,0.0332,0.33423,0.14884,-0.38942,0.44478
塔,27,-0.98382,-0.68279,-0.38176,-0.08073,0.2203,0.26805,0.31106,0.01003,0.18994,0.49097,0.84966,-0.23267,0.02174
絞,5,-0.87719,-0.57616,-0.27513,0.0259,0.32693,0.62796,0.92899,0.72236,0.42133,0.1203,-0.18073,-0.48176,-0.78279
鉾,2,-1.34306,-1.04203,-0.741,-0.43997,-0.13894,0.16209,0.46312,0.76415,1.06518,0.76415,0.46312,0.16209,-0.13894
霧,3,-1.03386,-0.73283,-0.4318,-0.13077,0.17026,0.47129,0.77232,0.47129,0.17026,0.01873,-0.21598,0.08505,0.38608
番,130,0.05518,0.35621,0.68308,-0.33255,0.06793,0.09102,0.11294,-0.39472,-0.3528,-0.6614,0.21392,-0.04262,0.20382
楼,2,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
邑,1,-1.66724,-1.36621,-1.06518,-0.76415,-0.46312,-0.16209,0.13894,0.43997,0.741,1.04203,1.34306,1.04203,0.741
渦,6,-1.77562,-1.47459,-1.17356,-0.87253,-0.5715,-0.27047,0.03056,0.33159,0.63262,0.93365,1.23468,1.4223,1.55289
析,81,-1.65507,-1.35404,-1.05301,-0.75198,-0.45095,-0.14992,0.15111,0.45214,0.75317,1.0542,0.6647,0.98377,1.35582
客,52,-0.03698,0.26405,0.56508,0.43582,0.25096,0.27825,0.30393,-0.46697,-0.28665,-0.15962,-0.44191,-0.2812,-0.42473
厭,1,-1.34306,-1.04203,-0.741,-0.43997,-0.13894,0.16209,0.46312,0.76415,1.06518,0.76415,0.46312,0.16209,-0.13894
楽,820,-0.20066,0.10037,0.15424,0.43964,0.03642,0.52098,0.19553,0.09664,0.12858,-0.19024,-0.56751,-0.35244,-0.36155
澄,8,-0.97213,-0.6711,-0.37007,-0.06904,0.23199,0.53302,0.83405,0.53302,0.28695,0.58798,0.28695,-0.75631,-0.45528
稔,1,-1.80618,-1.50515,-1.20412,-0.90309,-0.60206,-0.30103,0,0.30103,0.60206,0.90309,1.20412,1.50515,1.80618
塗,21,-1.2114,-0.91037,-0.60934,-0.30831,-0.00728,0.29375,0.59478,0.26321,0.22027,0.17262,1.06642,0.35207,0.0836
宣,69,-1.38346,-1.08243,-0.7814,-0.48037,-0.17934,0.12169,0.42272,0.72375,0.33971,0.33213,0.58608,0.75462,0.62633
侵,104,-1.36371,-1.06268,-0.76165,-0.46062,-0.15959,0.14144,0.44247,0.7435,0.13222,-0.00029,0.94466,0.53133,0.8729
益,53,-1.38693,-1.0859,-0.78487,-0.48384,-0.18281,0.11822,0.41925,0.72028,0.06324,0.23175,0.92143,0.76338,0.6868
固,238,-1.2968,-0.99577,-0.69474,-0.39371,-0.09268,0.34513,0.54215,0.31972,-0.29156,0.31629,0.59466,0.90919,0.73814
絡,10,-0.9653,-0.66427,-0.36324,-0.06221,0.23882,0.53985,0.84088,0.20828,0.16535,0.1177,-0.06769,-0.01684,0.02867
室,102,-0.27903,0.022,0.37691,0.11139,-0.18709,0.31767,-0.02938,0.24111,-0.01799,-0.15051,0.09777,-0.11719,-0.38566
侶,2,-1.69589,-1.39486,-1.09383,-0.7928,-0.49177,-0.19074,0.11029,0.41132,0.71235,1.01338,1.31441,1.16449,0.93365
健,102,-0.98549,-0.68446,-0.38343,-0.0824,0.21863,0.28972,0.35078,0.057,0.5249,0.39239,0.20701,0.24277,-0.14743
絢,2,-1.69589,-1.39486,-1.09383,-0.7928,-0.49177,-0.19074,0.11029,0.41132,0.71235,1.01338,1.31441,1.16449,0.93365
塚,11,-1.30096,-0.99993,-0.6989,-0.39787,-0.09684,0.20419,0.50522,0.80625,0.50522,-0.07178,0.22925,0.56462,0.75158
温,431,-1.1286,-0.82757,-0.52654,0.86437,0.41461,-0.82881,0.38044,0.49256,-0.05054,0.50235,0.4999,0.38077,-0.17294
鏡,82,-1.29235,-0.99132,-0.69029,-0.38926,-0.08823,0.22151,0.40047,0.27302,0.82683,0.90259,0.09396,0.87376,-0.14067
鼠,1,0.741,1.04203,1.34306,1.04203,0.741,0.43997,0.13894,-0.16209,-0.46312,-0.76415,-1.06518,-1.36621,-1.66724
確,527,-1.31842,-1.01739,-0.71636,-0.41533,-0.1143,0.14742,0.42876,0.59101,0.38579,0.56148,0.32316,0.71147,0.43273
国,2155,-1.08302,-0.78199,-0.48096,-0.41741,-0.14187,0.38112,0.19193,0.4846,0.34648,0.23995,0.65028,0.54082,0.07006
枕,15,-0.62982,-0.32879,-0.02776,0.27327,0.5743,0.48177,0.36403,-0.14363,0.19933,0.24291,-0.05812,-0.62426,-0.32323
